Desc	Family ID	Mus_musculus	Cavia_porcellus	Dipodomys_ordii	Heterocephalus_glaber	Octodon_degus	Chinchilla_lanigera	Microtus_ochrogaster	Nannospalax_galili	Marmota_marmota	Castor_canadensis	Meriones_unguiculatus	Urocitellus_parryii	Cricetulus_griseus	Marmota_flaviventris	Peromyscus_maniculatus	Peromyscus_leucopus	Grammomys_surdaster	Mastomys_coucha	Rattus_rattus	Arvicanthis_niloticus	Fukomys_damarensis	Microtus_fortis	Rattus_norvegicus	Ictidomys_tridecemlineatus	Mesocricetus_auratus	Microtus_oregoni	Dipodomys_spectabilis	Jaculus_jaculus	Marmota_monax	Perognathus_longimembris	Mus_caroli	Mus_pahari	Neosciurus_carolinensis	Myodes_glareolus	Arvicola_amphibius	Onychomys_torridus	MGP_CASTEiJ	Mus_spicilegus	MGP_SPRETEiJ	Oryctolagus_cuniculus	Sciurus_vulgaris	Spermophilus_dauricus
(null)	102	17	4	11	11	3	10	9	15	12	11	6	11	12	9	13	11	17	13	15	10	17	7	17	11	11	30	10	9	15	9	13	15	8	12	9	12	13	12	12	8	1	0	
(null)	103	8	14	8	9	6	10	12	14	17	13	11	9	13	13	12	14	10	9	16	11	12	11	16	14	13	14	10	6	21	8	12	11	17	10	12	14	10	6	9	14	1	1	
(null)	104	17	15	13	7	16	13	11	9	7	9	12	5	8	7	16	15	21	11	15	16	12	9	13	5	12	14	7	11	7	8	17	11	4	11	13	11	11	13	12	12	6	8	
(null)	105	11	14	10	6	17	17	12	7	14	10	13	6	25	5	9	10	5	15	6	9	6	12	8	5	14	18	8	9	6	8	12	15	11	19	8	17	15	12	20	5	9	11	
(null)	106	7	9	12	12	12	12	10	7	9	9	9	9	9	10	8	8	18	26	7	10	11	14	8	13	12	11	16	10	12	20	8	8	10	17	11	10	13	17	7	12	8	7	
(null)	107	6	15	8	14	16	17	15	4	14	5	17	11	7	10	6	10	11	15	12	13	11	13	5	18	8	14	9	9	14	10	18	16	16	18	11	12	6	8	8	8	5	5	
(null)	108	6	6	6	5	9	8	20	20	6	9	11	6	12	8	12	15	19	14	24	15	17	19	28	4	12	19	7	3	8	7	10	13	10	10	22	12	5	8	6	12	2	2	
(null)	109	18	12	7	13	12	17	10	10	13	11	14	7	9	5	16	8	4	12	5	7	7	10	7	6	10	10	14	7	14	12	7	9	11	8	6	6	26	22	26	10	15	12	
(null)	110	24	11	9	5	8	11	10	9	3	12	8	16	11	7	8	14	7	9	10	6	10	7	12	6	13	7	15	4	5	7	12	10	5	9	6	9	30	24	31	11	18	16	
(null)	111	26	12	8	7	11	5	3	3	17	5	2	8	1	9	11	13	13	8	10	9	8	5	18	12	13	7	8	15	12	7	5	3	12	14	16	13	26	16	30	14	17	10	
